Product Sub-Category,Product Container,Continent,Customer Segment,Product Category,Ship Mode,Order Quantity,Profit,Sales,City,Country / Region,State or Province,Shipping Cost
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,14,310,816,Seymour,United States of America,Connecticut,5
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,6,798,2011,Salem,United States of America,New Hampshire,30
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,55,208,3205,Miami,United States of America,Florida,5
Tables,Jumbo Box,South America,Consumer,Furniture,Delivery Truck,88,1882,26897,Buenos Aires,Argentina,Province de Buenos Aires,44
Tables,Jumbo Box,North America,Consumer,Furniture,Delivery Truck,22,1882,6724,Peoria,United States of America,Arizona,44
Appliances,Small Box,North America,Small Business,Office Supplies,Regular Air,7,-105,100,Woodbury,United States of America,Minnesota,13
Office Furnishings,Small Box,North America,Home Office,Furniture,Regular Air,13,-53,61,Easton,United States of America,Pennsylvania,5
Office Furnishings,Small Box,North America,Home Office,Furniture,Regular Air,50,-53,236,New York City,United States of America,New York,5
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,19,82,368,Woodridge,United States of America,Illinois,9
Paper,Small Box,Asia,Small Business,Office Supplies,Regular Air,76,82,1472,Seoul,Republic of Korea,Soul,9
Telephones and Communication,Small Box,Europe,Small Business,Technology,Regular Air,13,-190,407,Prague,Czech Republic,Praha,5
Bookcases,Jumbo Box,North America,Consumer,Furniture,Delivery Truck,8,-159,809,Potomac,United States of America,Maryland,36
Chairs & Chairmats,Jumbo Drum,Europe,Consumer,Furniture,Delivery Truck,23,2992,7710,Paris,France,Île-de-France,30
Bookcases,Jumbo Box,North America,Consumer,Furniture,Delivery Truck,34,-159,3438,Seattle,United States of America,Washington,36
Chairs & Chairmats,Jumbo Drum,North America,Small Business,Furniture,Delivery Truck,26,-251,675,Friendswood,United States of America,Texas,14
Chairs & Chairmats,Jumbo Drum,Asia,Small Business,Furniture,Delivery Truck,105,-251,2728,Seoul,Republic of Korea,Soul,14
Appliances,Small Box,Asia,Corporate,Office Supplies,Express Air,82,2486,19095,Kolkata,India,West Bengal,20
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,7,1314,2155,Ossining,United States of America,New York,20
Binders and Binder Accessories,Small Box,South America,Consumer,Office Supplies,Regular Air,27,1314,8312,Lima,Peru,Provincia de Lima,20
Envelopes,Small Box,Asia,Corporate,Office Supplies,Regular Air,65,402,1690,Kolkata,India,West Bengal,1
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,101,57,605,Manila,Philippines,Région Capitale Nationale,1
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,22,433,662,Westlake,United States of America,Ohio,2
Computer Peripherals,Small Pack,North America,Home Office,Technology,Regular Air,88,433,2649,Guadalajara,Mexico,Jalisco,2
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,53,-158,239,Singapore,Singapore,Singapur,5
Chairs & Chairmats,Jumbo Drum,North America,Home Office,Furniture,Delivery Truck,16,446,2909,Westlake,United States of America,Ohio,30
Chairs & Chairmats,Jumbo Drum,North America,Home Office,Furniture,Delivery Truck,63,446,11454,Guadalajara,Mexico,Jalisco,30
Appliances,Jumbo Drum,North America,Corporate,Office Supplies,Delivery Truck,25,1482,2707,Ozark,United States of America,Missouri,16
Appliances,Jumbo Drum,Asia,Corporate,Office Supplies,Delivery Truck,101,1482,10938,Delhi,India,National Capital Territory of Delhi,16
Rubber Bands,Wrap Bag,Europe,Small Business,Office Supplies,Regular Air,6,-4,21,Rome,Italy,Lazio,1
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,2,-970,7,La Vergne,United States of America,Tennessee,1
"Scissors, Rulers and Trimmers",Small Pack,Europe,Small Business,Office Supplies,Express Air,82,2,1401,Rome,Italy,Lazio,7
"Scissors, Rulers and Trimmers",Small Pack,North America,Small Business,Office Supplies,Express Air,20,214,342,La Vergne,United States of America,Tennessee,7
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,10,24,378,Ozark,United States of America,Missouri,17
Paper,Small Box,Asia,Corporate,Office Supplies,Regular Air,40,24,1512,Delhi,India,National Capital Territory of Delhi,17
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,13,-84,59,Gresham,United States of America,Oregon,5
Envelopes,Small Box,Asia,Small Business,Office Supplies,Regular Air,59,226,974,Kolkata,India,West Bengal,1
Envelopes,Small Box,North America,Small Business,Office Supplies,Regular Air,15,171,248,Woodland,United States of America,California,1
Tables,Jumbo Box,North America,Home Office,Furniture,Delivery Truck,3,-235,609,West Des Moines,United States of America,Iowa,56
Tables,Jumbo Box,Europe,Home Office,Furniture,Delivery Truck,11,-235,2234,London,United Kingdom,England,56
Office Furnishings,Small Box,North America,Home Office,Furniture,Regular Air,18,109,380,West Des Moines,United States of America,Iowa,8
Office Furnishings,Small Box,Europe,Home Office,Furniture,Regular Air,74,109,1562,London,United Kingdom,England,8
Envelopes,Small Box,North America,Consumer,Office Supplies,Regular Air,8,6,46,Anderson,United States of America,Indiana,3
Pens & Art Supplies,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,17,42,103,Anderson,United States of America,Indiana,1
Envelopes,Small Box,Asia,Consumer,Office Supplies,Regular Air,34,6,196,Seoul,Republic of Korea,Soul,3
Pens & Art Supplies,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,69,42,417,Seoul,Republic of Korea,Soul,1
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,19,-224,125,Cambridge,United States of America,Massachusetts,10
Pens & Art Supplies,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,15,10,43,Kingsville,United States of America,Texas,1
Pens & Art Supplies,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,59,10,170,Chongqing,China,Chongqing Shi,1
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,12,-27,98,Ozark,United States of America,Missouri,6
Paper,Small Box,Asia,Corporate,Office Supplies,Regular Air,48,-27,393,Delhi,India,National Capital Territory of Delhi,6
Storage & Organization,Small Box,Europe,Small Business,Office Supplies,Regular Air,21,1,738,Rome,Italy,Lazio,8
Storage & Organization,Small Box,North America,Small Business,Office Supplies,Regular Air,5,-848,176,La Vergne,United States of America,Tennessee,8
Paper,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,19,-5,72,Jalandhar,India,Punjab,2
Bookcases,Jumbo Box,Asia,Corporate,Furniture,Delivery Truck,82,-737,16244,Tokyo,Japan,Tokyo,56
Bookcases,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,20,-737,3962,Fresno,United States of America,California,56
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,15,-3,17,Vineland,United States of America,New Jersey,1
Paper,Small Box,Africa,Home Office,Office Supplies,Regular Air,75,-420,495,Kimberley,South Africa,Northern Cape,10
Rubber Bands,Wrap Bag,North America,Small Business,Office Supplies,Regular Air,59,-3,66,Boston,United States of America,Massachusetts,1
Tables,Large Box,North America,Corporate,Furniture,Regular Air,8,-506,1369,Montclair,United States of America,New Jersey,69
Tables,Large Box,Asia,Corporate,Furniture,Regular Air,32,-506,5478,Tokyo,Japan,Tokyo,69
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,9,-131,66,Waltham,United States of America,Massachusetts,11
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,38,-131,280,Boston,United States of America,Massachusetts,11
Office Furnishings,Small Pack,North America,Corporate,Furniture,Regular Air,20,-114,36,Torrance,United States of America,California,4
Envelopes,Small Box,Asia,Home Office,Office Supplies,Regular Air,103,-172,870,Karachi,Pakistan,Sindh,8
Envelopes,Small Box,North America,Home Office,Office Supplies,Regular Air,26,5,220,Coral Springs,United States of America,Florida,8
Bookcases,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,7,-433,935,Amarillo,United States of America,Texas,53
Bookcases,Jumbo Box,Asia,Corporate,Furniture,Delivery Truck,27,-433,3605,Seoul,Republic of Korea,Soul,53
Office Furnishings,Medium Box,North America,Home Office,Furniture,Regular Air,3,-181,66,Draper,United States of America,Utah,21
Paper,Small Box,Africa,Corporate,Office Supplies,Regular Air,13,107,661,Lagos,Nigeria,Lagos State,5
Binders and Binder Accessories,Small Box,North America,Home Office,Office Supplies,Regular Air,5,13,28,Webster,United States of America,Massachusetts,1
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,4,-13,12,Jeffersonville,United States of America,Indiana,2
Pens & Art Supplies,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,17,-13,49,Tianjin,China,Tianjin Shi,2
Paper,Small Box,Asia,Home Office,Office Supplies,Regular Air,53,-154,361,Jakarta,Indonesia,Jakarta,10
Paper,Small Box,North America,Home Office,Office Supplies,Regular Air,13,-42,89,Palm Beach Gardens,United States of America,Florida,10
Pens & Art Supplies,Wrap Bag,Asia,Home Office,Office Supplies,Regular Air,92,5,403,Kanpur,India,Uttar Pradesh,2
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,23,5,101,Salem,United States of America,Oregon,2
Office Furnishings,Medium Box,North America,Corporate,Furniture,Regular Air,1,-211,169,Amarillo,United States of America,Texas,20
Office Furnishings,Medium Box,Asia,Corporate,Furniture,Regular Air,4,-211,675,Seoul,Republic of Korea,Soul,20
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,162,189,3973,Washington,United States of America,District of Columbia,8
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,41,466,1006,Eagle,United States of America,Idaho,8
Binders and Binder Accessories,Small Box,South America,Home Office,Office Supplies,Regular Air,21,50,118,Buenos Aires,Argentina,Province de Buenos Aires,1
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,40,2675,3876,Peoria,United States of America,Illinois,3
Telephones and Communication,Small Box,Asia,Corporate,Technology,Regular Air,158,11790,15311,Guangzhou,China,Guangdong Sheng,3
Rubber Bands,Wrap Bag,South America,Corporate,Office Supplies,Regular Air,133,128,167,Buenos Aires,Argentina,Province de Buenos Aires,1
Rubber Bands,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,33,9,41,Phoenix,United States of America,Arizona,1
"Scissors, Rulers and Trimmers",Small Pack,Asia,Home Office,Office Supplies,Regular Air,130,196,255,Busan,Republic of Korea,Busan,3
"Scissors, Rulers and Trimmers",Small Pack,North America,Home Office,Office Supplies,Regular Air,32,-3,63,Bradenton,United States of America,Florida,3
Office Furnishings,Small Pack,North America,Corporate,Furniture,Regular Air,16,6,109,Danvers,United States of America,Massachusetts,5
Office Furnishings,Small Pack,Asia,Corporate,Furniture,Regular Air,65,33,442,Beijing,China,Beijing,5
Pens & Art Supplies,Wrap Bag,North America,Consumer,Office Supplies,Regular Air,40,120,175,University City,United States of America,Missouri,1
Pens & Art Supplies,Wrap Bag,Asia,Consumer,Office Supplies,Regular Air,158,532,691,Delhi,India,National Capital Territory of Delhi,1
Computer Peripherals,Small Box,North America,Consumer,Technology,Regular Air,15,-27,397,Summit,United States of America,New Jersey,4
Rubber Bands,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,4,-5,20,Houston,United States of America,Texas,1
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,20,915,1866,Newark,United States of America,New Jersey,3
Telephones and Communication,Small Box,Asia,Corporate,Technology,Regular Air,79,5192,7370,Beijing,China,Beijing,3
Office Machines,Medium Box,Asia,Corporate,Technology,Regular Air,29,258,2733,Jakarta,Indonesia,Jakarta,14
Rubber Bands,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,41,2,119,Norwich,United States of America,Connecticut,2
Rubber Bands,Wrap Bag,Asia,Corporate,Office Supplies,Regular Air,162,12,469,Beijing,China,Beijing,2
Labels,Small Box,Australasia,Consumer,Office Supplies,Regular Air,144,440,571,Auckland,New Zealand,Auckland,8
Labels,Small Box,North America,Consumer,Office Supplies,Regular Air,36,91,143,Auburn,United States of America,Washington,8
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,29,848,1730,Lakewood,United States of America,California,9
Office Furnishings,Small Pack,North America,Small Business,Furniture,Regular Air,45,16,213,Woodmere,United States of America,New York,3
Computer Peripherals,Small Box,Europe,Consumer,Technology,Regular Air,62,-50,1642,Paris,France,Île-de-France,4
Office Furnishings,Small Pack,South America,Small Business,Furniture,Regular Air,180,272,851,Lima,Peru,Provincia de Lima,3
Storage & Organization,Large Box,North America,Corporate,Office Supplies,Regular Air,19,254,3174,Bowling Green,United States of America,Ohio,35
Storage & Organization,Large Box,Asia,Corporate,Office Supplies,Regular Air,76,4365,12697,Istanbul,Turkey,Istanbul,35
Bookcases,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,6,41,462,Kokomo,United States of America,Indiana,27
Office Furnishings,Small Pack,Asia,Home Office,Furniture,Regular Air,79,1848,2400,Guangzhou,China,Guangdong Sheng,4
Telephones and Communication,Wrap Bag,North America,Consumer,Technology,Express Air,38,508,736,Prior Lake,United States of America,Minnesota,1
Telephones and Communication,Wrap Bag,North America,Consumer,Technology,Express Air,151,436,2925,Los Angeles,United States of America,California,1
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,86,312,8396,Chicago,United States of America,Illinois,9
Office Furnishings,Small Pack,North America,Small Business,Furniture,Regular Air,5,25,37,Woodmere,United States of America,New York,5
Office Furnishings,Small Pack,South America,Small Business,Furniture,Regular Air,22,124,161,Lima,Peru,Provincia de Lima,5
Computer Peripherals,Small Box,Asia,Small Business,Technology,Regular Air,24,-472,1060,Seoul,Republic of Korea,Soul,20
Computer Peripherals,Small Box,North America,Home Office,Technology,Regular Air,39,41,712,Manhattan,United States of America,Kansas,4
Office Furnishings,Small Pack,Asia,Corporate,Furniture,Express Air,148,969,3642,Istanbul,Turkey,Istanbul,9
Chairs & Chairmats,Jumbo Drum,North America,Consumer,Furniture,Delivery Truck,21,2004,5731,Olathe,United States of America,Kansas,49
Chairs & Chairmats,Jumbo Drum,Asia,Consumer,Furniture,Delivery Truck,83,11373,22651,Hangzhou,China,Zhejiang Sheng,49
Office Machines,Jumbo Drum,Europe,Home Office,Technology,Delivery Truck,11,6835,8877,Warsaw,Poland,Mazowieckie,16
Office Machines,Jumbo Drum,North America,Home Office,Technology,Delivery Truck,3,902,2421,Temecula,United States of America,California,16
Paper,Small Box,North America,Corporate,Office Supplies,Express Air,32,-188,295,Boynton Beach,United States of America,Florida,10
Pens & Art Supplies,Wrap Bag,North America,Corporate,Office Supplies,Regular Air,23,-1915,69,Boynton Beach,United States of America,Florida,1
Telephones and Communication,Small Box,North America,Corporate,Technology,Regular Air,21,295,1129,Sherman,United States of America,Texas,4
Office Furnishings,Large Box,North America,Small Business,Furniture,Regular Air,12,47,169,Oxnard,United States of America,California,14
Computer Peripherals,Small Box,North America,Small Business,Technology,Regular Air,6,-26,265,Dalton,United States of America,Georgia,20
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,29,61,420,Kansas City,United States of America,Missouri,7
Binders and Binder Accessories,Small Box,Asia,Small Business,Office Supplies,Regular Air,115,344,1664,Manila,Philippines,Région Capitale Nationale,7
Office Furnishings,Wrap Bag,North America,Corporate,Furniture,Regular Air,18,67,140,Mason City,United States of America,Iowa,4
Office Furnishings,Wrap Bag,Asia,Corporate,Furniture,Regular Air,72,381,561,Seoul,Republic of Korea,Soul,4
Storage & Organization,Small Box,North America,Home Office,Office Supplies,Regular Air,20,20,565,Dix Hills,United States of America,New York,7
Storage & Organization,Small Box,Asia,Home Office,Office Supplies,Regular Air,79,338,2231,Seoul,Republic of Korea,Soul,7
Telephones and Communication,Small Pack,North America,Corporate,Technology,Regular Air,18,252,327,Mexico City,Mexico,Distrito Federal,3
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Regular Air,29,91,498,Tokyo,Japan,Tokyo,2
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,7,-1654,120,Hickory,United States of America,North Carolina,2
Office Furnishings,Large Box,Asia,Corporate,Furniture,Regular Air,50,1055,2419,Shenzhen,China,Guangdong Sheng,22
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,9,-27,67,Lemon Grove,United States of America,California,5
Office Furnishings,Large Box,North America,Corporate,Furniture,Regular Air,13,-24,629,Salisbury,United States of America,North Carolina,22
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Express Air,90,338,439,Jakarta,Indonesia,Jakarta,5
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Express Air,23,751,112,West Memphis,United States of America,Arkansas,5
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,31,583,845,Olney,United States of America,Maryland,1
Binders and Binder Accessories,Small Box,Asia,Consumer,Office Supplies,Regular Air,122,2561,3326,Chongqing,China,Chongqing Shi,1
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,29,183,282,Gurnee,United States of America,Illinois,2
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Regular Air,115,862,1119,Hong Kong,Hong Kong,Hong Kong,2
Appliances,Jumbo Drum,Asia,Small Business,Office Supplies,Delivery Truck,166,19544,32645,Guangzhou,China,Guangdong Sheng,55
Office Furnishings,Small Pack,North America,Corporate,Furniture,Express Air,15,131,190,Hanover Park,United States of America,Illinois,3
Office Furnishings,Small Pack,Asia,Corporate,Furniture,Express Air,61,596,774,Hong Kong,Hong Kong,Hong Kong,3
Storage & Organization,Small Box,North America,Consumer,Office Supplies,Express Air,6,73,201,Hilliard,United States of America,Ohio,5
Storage & Organization,Small Box,Asia,Consumer,Office Supplies,Regular Air,126,4341,17606,Tokyo,Japan,Tokyo,20
Labels,Small Box,North America,Consumer,Office Supplies,Regular Air,5,10,19,Garden City,United States of America,Michigan,1
Labels,Small Box,Asia,Consumer,Office Supplies,Regular Air,22,55,84,Ahmedabad,India,Gujarat,1
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,17,82,231,Maryland Heights,United States of America,Missouri,5
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,68,464,923,Guadalajara,Mexico,Jalisco,5
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,34,229,190,Conway,United States of America,Arkansas,6
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,137,-94,765,Los Angeles,United States of America,California,6
Labels,Small Box,Europe,Small Business,Office Supplies,Regular Air,162,425,552,Rome,Italy,Lazio,1
Computer Peripherals,Small Box,Asia,Home Office,Technology,Regular Air,22,1281,1664,Tokyo,Japan,Tokyo,15
Appliances,Medium Box,Africa,Corporate,Office Supplies,Regular Air,94,182,1636,Lagos,Nigeria,Lagos State,8
Storage & Organization,Small Box,South America,Consumer,Office Supplies,Express Air,24,274,803,Buenos Aires,Argentina,Province de Buenos Aires,5
Appliances,Medium Box,North America,Corporate,Office Supplies,Regular Air,23,-20,400,Spartanburg,United States of America,South Carolina,8
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,16,1307,1894,Sanford,United States of America,Maine,9
Binders and Binder Accessories,Small Box,North America,Consumer,Office Supplies,Regular Air,28,243,844,Bristol,United States of America,Connecticut,13
Binders and Binder Accessories,Small Box,Asia,Consumer,Office Supplies,Regular Air,65,5925,7695,Pune,India,Maharashtra,9
Binders and Binder Accessories,Small Box,Asia,Consumer,Office Supplies,Regular Air,112,1380,3378,Pune,India,Maharashtra,13
Computer Peripherals,Small Box,Africa,Corporate,Technology,Regular Air,18,325,422,Lagos,Nigeria,Lagos State,4
Computer Peripherals,Small Box,North America,Corporate,Technology,Regular Air,5,42,117,Spartanburg,United States of America,South Carolina,4
Office Machines,Medium Box,North America,Small Business,Technology,Regular Air,35,3218,4663,Alamogordo,United States of America,New Mexico,14
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,21,16,186,Fairfield,United States of America,California,6
Paper,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,25,65,100,Port Arthur,United States of America,Texas,1
Paper,Small Box,South America,Consumer,Office Supplies,Regular Air,35,-201,237,Buenos Aires,Argentina,Province de Buenos Aires,10
Paper,Wrap Bag,South America,Home Office,Office Supplies,Regular Air,101,311,404,Buenos Aires,Argentina,Province de Buenos Aires,1
Tables,Jumbo Box,North America,Corporate,Furniture,Delivery Truck,26,1344,1960,North Andover,United States of America,Massachusetts,89
Tables,Jumbo Box,Asia,Corporate,Furniture,Delivery Truck,104,6035,7838,Osaka,Japan,Ōsaka,89
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,45,5315,7703,Racine,United States of America,Wisconsin,9
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,13,32,2289,Racine,United States of America,Wisconsin,9
Telephones and Communication,Small Box,Asia,Home Office,Technology,Regular Air,180,23724,30811,Seoul,Republic of Korea,Soul,9
Office Furnishings,Medium Box,North America,Corporate,Furniture,Regular Air,26,1,2470,East Saint Louis,United States of America,Illinois,40
Office Furnishings,Medium Box,Asia,Corporate,Furniture,Regular Air,104,11,9880,Baghdad,Iraq,Baghdad,40
Appliances,Large Box,North America,Consumer,Office Supplies,Express Air,23,332,1429,Fairfield,United States of America,Ohio,49
"Scissors, Rulers and Trimmers",Small Pack,Asia,Home Office,Office Supplies,Regular Air,68,189,717,Wuhan,China,Hubei Sheng,5
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,3,105,153,Manteca,United States of America,California,5
Paper,Small Box,Europe,Corporate,Office Supplies,Regular Air,66,-98,402,Warsaw,Poland,Mazowieckie,5
"Scissors, Rulers and Trimmers",Small Pack,North America,Home Office,Office Supplies,Regular Air,17,11,179,Westminster,United States of America,Colorado,5
Computer Peripherals,Small Box,South America,Corporate,Technology,Express Air,76,960,5649,Buenos Aires,Argentina,Province de Buenos Aires,4
Computer Peripherals,Small Box,North America,Corporate,Technology,Express Air,19,56,1412,Rocklin,United States of America,California,4
Binders and Binder Accessories,Small Box,Asia,Small Business,Office Supplies,Express Air,18,114,148,Seoul,Republic of Korea,Soul,7
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,14,12505,18123,Elgin,United States of America,Illinois,20
Binders and Binder Accessories,Small Box,Asia,Corporate,Office Supplies,Regular Air,54,53825,69903,Baghdad,Iraq,Baghdad,20
Appliances,Small Box,South America,Corporate,Office Supplies,Regular Air,90,1537,4866,Buenos Aires,Argentina,Province de Buenos Aires,13
Appliances,Small Box,North America,Corporate,Office Supplies,Regular Air,23,271,1244,Rocklin,United States of America,California,13
Telephones and Communication,Small Box,North America,Home Office,Technology,Regular Air,6,184,1096,Austin,United States of America,Texas,4
Telephones and Communication,Small Box,Asia,Home Office,Technology,Regular Air,25,3161,4567,Seoul,Republic of Korea,Soul,4
Storage & Organization,Small Box,Europe,Corporate,Office Supplies,Regular Air,50,-225,801,Warsaw,Poland,Mazowieckie,11
Bookcases,Jumbo Box,North America,Consumer,Furniture,Delivery Truck,14,185,1608,Waterbury,United States of America,Connecticut,51
Bookcases,Jumbo Box,South America,Consumer,Furniture,Delivery Truck,54,3189,6202,BogotÃ¡,Colombia,Bogotá D.C.,51
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,5,186,270,Hays,United States of America,Kansas,20
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,22,913,1186,Mexico City,Mexico,Distrito Federal,20
Paper,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,38,398,577,Rye,United States of America,New York,2
Paper,Wrap Bag,South America,Home Office,Office Supplies,Regular Air,151,1766,2294,Rio de Janeiro,Brazil,Rio de Janeiro,2
Office Machines,Small Box,Asia,Consumer,Technology,Regular Air,25,1034,2696,Shanghai,China,Shanghai Shi,20
Office Furnishings,Small Box,North America,Corporate,Furniture,Regular Air,18,27,40,Baldwin,United States of America,Pennsylvania,5
Office Furnishings,Small Box,Asia,Corporate,Furniture,Regular Air,72,122,158,Shanghai,China,Shanghai Shi,5
Binders and Binder Accessories,Small Box,Asia,Consumer,Office Supplies,Regular Air,90,118,1432,Guangzhou,China,Guangdong Sheng,10
Paper,Small Box,North America,Corporate,Office Supplies,Regular Air,17,-52,103,Lemon Grove,United States of America,California,5
Pens & Art Supplies,Wrap Bag,Asia,Home Office,Office Supplies,Regular Air,4,21,27,Osaka,Japan,Ōsaka,4
Pens & Art Supplies,Wrap Bag,North America,Home Office,Office Supplies,Regular Air,1,196,7,Phenix City,United States of America,Alabama,4
Storage & Organization,Small Box,South America,Small Business,Office Supplies,Regular Air,140,540,13795,Fortaleza,Brazil,Ceara,20
Office Machines,Jumbo Drum,North America,Consumer,Technology,Delivery Truck,24,1481,2359,Southbury,United States of America,Connecticut,28
Office Machines,Jumbo Drum,South America,Consumer,Technology,Delivery Truck,97,7342,9535,BogotÃ¡,Colombia,Bogotá D.C.,28
Telephones and Communication,Small Box,North America,Corporate,Technology,Express Air,1,45,66,Hays,United States of America,Kansas,4
Telephones and Communication,Small Box,North America,Corporate,Technology,Express Air,4,203,263,Mexico City,Mexico,Distrito Federal,4
Computer Peripherals,Small Box,North America,Consumer,Technology,Regular Air,12,369,990,West Lafayette,United States of America,Indiana,7
Computer Peripherals,Small Pack,North America,Consumer,Technology,Regular Air,14,12,32,Stoughton,United States of America,Massachusetts,2
Computer Peripherals,Small Pack,South America,Consumer,Technology,Regular Air,58,101,131,BogotÃ¡,Colombia,Bogotá D.C.,2
Storage & Organization,Small Box,North America,Corporate,Office Supplies,Regular Air,12,-120,192,Lemon Grove,United States of America,California,11
Computer Peripherals,Small Box,North America,Home Office,Technology,Regular Air,11,155,1622,Rye,United States of America,New York,4
Computer Peripherals,Small Box,South America,Home Office,Technology,Regular Air,43,2663,6342,Rio de Janeiro,Brazil,Rio de Janeiro,4
Binders and Binder Accessories,Small Box,North America,Corporate,Office Supplies,Regular Air,14,2960,4289,Jackson,United States of America,Michigan,20
Envelopes,Small Box,North America,Corporate,Office Supplies,Regular Air,32,1195,1921,Baldwin,United States of America,Pennsylvania,20
Envelopes,Small Box,Asia,Corporate,Office Supplies,Regular Air,130,6008,7803,Shanghai,China,Shanghai Shi,20
Binders and Binder Accessories,Small Box,South America,Corporate,Office Supplies,Regular Air,58,13683,17770,Sao Paulo,Brazil,São Paulo,20
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,42,1146,1660,Baldwin,United States of America,Pennsylvania,2
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Regular Air,169,5144,6680,Shanghai,China,Shanghai Shi,2
Office Furnishings,Small Pack,Asia,Corporate,Furniture,Regular Air,151,1677,2178,Tokyo,Japan,Tokyo,5
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,22,433,671,Rosenberg,United States of America,Texas,2
Office Furnishings,Small Box,North America,Consumer,Furniture,Regular Air,17,22,149,Washington,United States of America,District of Columbia,5
Computer Peripherals,Small Pack,Asia,Corporate,Technology,Regular Air,86,2019,2622,Surat,India,Gujarat,2
Paper,Small Box,North America,Small Business,Office Supplies,Regular Air,11,4,373,Des Plaines,United States of America,Illinois,17
Binders and Binder Accessories,Small Box,North America,Small Business,Office Supplies,Regular Air,29,1177,1706,Des Plaines,United States of America,Illinois,10
Labels,Small Box,North America,Small Business,Office Supplies,Regular Air,40,117,170,Des Plaines,United States of America,Illinois,1
Paper,Small Box,South America,Small Business,Office Supplies,Regular Air,43,67,1459,Salvador,Brazil,Bahia,17
Binders and Binder Accessories,Small Box,South America,Small Business,Office Supplies,Regular Air,115,5208,6764,Salvador,Brazil,Bahia,10
Labels,Small Box,South America,Small Business,Office Supplies,Regular Air,158,517,671,Salvador,Brazil,Bahia,1
Computer Peripherals,Small Pack,North America,Corporate,Technology,Regular Air,15,174,334,Rosenberg,United States of America,Texas,2
